labels	text
O O O O O O O O O	No one has claimed responsibility for the killings .
O O O O O O O O O B-gpe_NOKG O O O O O O O O O O B-geo I-geo O	The ambush came a day after a commander of Pakistani troops said the army has almost completely eliminated militants in South Waziristan .
O O O O O O O B-org_NOKG O B-org_NOKG O O O B-org_NOKG O O O O B-geo O B-tim_NOKG O	The area became a refuge for many al-Qaida and Taleban fighters after the Taleban government was ousted in Afghanistan in 2001 .
O O B-gpe_NOKG O O O B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-gpe I-gpe O	"A senior Pakistani military official says Pakistan wants to put what he calls the "" sordid chapter "" of proliferation by one of its top scientists behind it and build civilian nuclear ties with the United States ."
O O O B-gpe O O O O O O O O O B-per I-per I-per O O O O O O O O O O O O O O O O B-gpe O B-gpe O B-gpe I-gpe O	But he says Pakistan is not ready to make the nuclear scientist , Abdul Qadeer Khan , available for direct questioning over his sale of nuclear parts and secrets to states including Iran , Libya and North Korea .
O O O O O O O O O O O O O O	He said there are reasons of national sensitivities for not making him available .
O B-gpe_NOKG O O O O O O O O O O O O O B-geo_NOKG O	The Pakistani official was giving a background briefing to a small group of reporters in Washington .
B-per_NOKG O O B-tim_NOKG O O O O O O O O O O O O O O O O	Khan admitted in 2004 that he operated a worldwide clandestine network to sell nuclear technology in the black market .
O O O O O O O B-geo O O O O O O O O O O O B-geo O O O O	He was placed under house arrest in Islamabad , but not jailed because he is considered the father of Pakistan 's nuclear bomb .
B-gpe_NOKG B-org_NOKG O O B-tim_NOKG O O O O O O O O O O O O B-org O O O O O O B-gpe_NOKG O O B-geo O O O	U.S. Army officials said Wednesday that they will not renew a controversial multi-billion dollar contract with the Halliburton company to provide logistical support to U.S. troops in Iraq and elsewhere .
B-org O O O O O O O O O O O O O O O O O O O O O	Halliburton has been providing a long list of services , from meals to communication , for the military for several years .
O O B-org O O O O O O	Critics of Halliburton include auditors and congressional Democrats .
O O O O O O O O O O O O O O O	They say the company has produced some shoddy work and charges too much money .
O O O O O O O	The company strongly denies the allegations .
O O O O O O O O O O O O O O O O O O O O O O O O	When the huge contract is put out for re-bidding , several companies will get a chance to compete for portions of the work .
O O O B-org_NOKG I-org_NOKG I-org_NOKG I-org_NOKG I-org_NOKG I-org_NOKG I-org_NOKG O O O O O O O O O O O B-org_NOKG O O O O O O O B-tim_NOKG I-tim_NOKG O B-tim O	Representatives from the Asia Pacific Economic Cooperation Business Advisory Council are holding meetings this week to finalize their annual report for APEC leaders who will hold a summit on September 8 and 9 .
B-org_NOKG O B-per_NOKG I-per_NOKG O O B-geo O	VOA 's Nancy-Amelia Collins reports from Sydney .
O O O O O O O O B-org I-org I-org O O O O O O O O O O O O O O O O O O O O O B-org_NOKG I-org_NOKG I-org_NOKG I-org_NOKG O O O B-org_NOKG O	Energy , security , climate change , the World Trade Organization 's stalled negotiations , and investment are all expected to be among the major topics in the annual report of the APEC Business Advisory Council , known as ABAC .
B-per_NOKG I-per_NOKG O O O O O O B-org_NOKG I-org_NOKG I-org_NOKG O O B-org_NOKG O O O O O O O O O O O O	Tim Harcourt , the chief economist of the Australian Trade Commission , says ABAC plays an important role by informing governments where there are problems .
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-per_NOKG O O	""" The most important thing the business groups can do is to tell the governments where there are logjams , where there are obstacles , where things can improve , "" Harcourt said ."
O O O O B-org_NOKG O O O O O O O O O O O O O O O O O O O O O O O O O O O	""" I think actually ABAC has played a pretty good leadership on that in talking about trade facilitation and basically making sure standards are consistent and harmonious across the region . """
B-org_NOKG O O O O O O O O O O O O O O O O O O B-org_NOKG O	ABAC comprises up to three members of the private sector of each of the 21 economies that make up APEC .
O O O O O O O	It meets three times a year .
O O O O O O O B-tim_NOKG O O O O O O O B-org_NOKG O	It was made a permanent body in 1995 to provide an independent business perspective within APEC .
O O O O O O O O O O O O O O	Members represent a range of business sectors , including medium and small businesses .
B-org_NOKG O O O O O O O O O O O O O O O O O O O O O O O O O O O O	ABAC says there is a need for businesses to improve energy efficiency and to encourage conservation practices , and is expected to include this in its annual report .
B-per_NOKG O O O B-org_NOKG I-org_NOKG I-org_NOKG O O O B-org_NOKG O O O O O O O O O O	Harcourt , of the Australian Trade Commission , says the ABAC report will also discuss ways to enhance regional cooperation .
O O O O O O O O O O O O O O O O O O O O O O O O O O O B-per_NOKG O O	""" I reckon they 'll talk a little bit about customs and quarantine , a little bit about having consistent security arrangements around the region , "" Harcourt said ."
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	""" And I think they 'll want a one-stop shop in terms of combining security , immigration , customs , and quarantine together … just to make sure it 's more streamlined and provides more certainty . """
B-org_NOKG O O O O O O O O O O O O O O O O O O B-org_NOKG O O	ABAC is the only non-governmental body that has an official role and formal dialogue with the leaders of the APEC economies .
O O O O O O O O B-org_NOKG O O O B-tim_NOKG O	It will present its annual report at the APEC leaders meeting on Saturday .
B-gpe O O O O O O O O O O O O B-geo O O O O O O O O O O	Sudan 's government says it will order troops to end attacks immediately in Darfur , and is asking rebels to do the same .
B-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG O B-gpe_NOKG O O O O O O O O O B-tim_NOKG O O O O O O O O O O O O O	Foreign Minister Mustafa Osman Ismail says Sudanese troops will also withdraw to positions held before an April cease-fire , if rebels in the western region agree to stop attacks .
B-per_NOKG I-per_NOKG O O O O O O O O O B-org I-org O B-org I-org O B-geo B-tim_NOKG O	Mr. Ismail announced the decision after meeting with officials from the United Nations and African Union in Khartoum Sunday .
O O O O B-org_NOKG O O B-gpe_NOKG O O O O O O O B-tim_NOKG O O	In recent weeks , AU officials say Sudanese troops and rebels have repeatedly violated the April truce .
B-tim_NOKG O O O O B-org_NOKG O O B-geo O B-gpe_NOKG O O O O O O O O B-geo_NOKG I-geo_NOKG O O B-geo_NOKG O	Saturday , the head of AU forces in Darfur accused Sudanese government helicopters of bombing rebel sites in the South Darfur village of Labado .
B-gpe O O O O O O O O O O	Khartoum says troops were defending their positions from rebel attacks .
O O O O O O O O O O B-geo_NOKG I-geo_NOKG O O O O O	Aid workers say some relief efforts have been suspended in South Darfur due to recent attacks .
B-gpe_NOKG O O O O O O O O O B-tim_NOKG I-tim_NOKG B-geo O O O O O O O	Indonesian police have arrested three men in connection with the October 1 Bali bombings that left 23 people dead .
B-gpe_NOKG O O B-tim_NOKG O O O O O B-geo O O B-geo O O O O B-geo O O O	Indonesian police said Wednesday the men were flown to Bali from neighboring Java island for questioning at Bali police headquarters .
B-gpe_NOKG O B-gpe_NOKG O O O O O O O O O O O B-per_NOKG O O O O O O O O O O O O B-geo O	Australian and French news agencies say at least one of the men arrested ( Cholily ) was captured during a series of counter-terrorism raids last week in Indonesia .
O O O O O O O O O O B-per_NOKG I-per_NOKG I-per_NOKG O	The raids ended with the death of alleged extremist bombmaker Azahari bin Husin .
B-gpe_NOKG O O B-per_NOKG I-per_NOKG I-per_NOKG O O O O O O O B-geo O O O O B-tim_NOKG B-geo O O O O O O O O	Indonesian authorities blame Azahari bin Husin for orchestrating last month 's attacks in Bali as well as the 2002 Bali bombings that killed more than 200 people .
O O O O O O B-org_NOKG I-org_NOKG O O O O O O O O O O O O B-geo O B-geo O	Gunmen have shot and killed a Roman Catholic nun and her bodyguard at the hospital where she worked in Islamist-controlled Mogadishu , Somalia .
O O O O B-tim_NOKG O O O O O O O O O O O O B-per_NOKG I-per_NOKG O	Some witnesses to the Sunday shooting said they feared the attack was linked to Muslim anger toward Pope Benedict .
O O O O O O O O B-per_NOKG I-per_NOKG I-per_NOKG O O O O O O O O O O O O O O B-geo O	Two men with pistols attacked the nun , Sister Leonella Sgorbati , after she finished teaching a medical school class at the hospital in southern Mogadishu .
O O O O O O O	Officials say one suspect was arrested .
O B-geo O O B-org_NOKG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	In Rome , a Vatican spokesman deplored the attack and said he hoped it was an isolated event , and not irrationality arising from comments made by the Pope which angered some Muslims .
O O B-geo O O O O O O O O O	Authorities in Mogadishu have not determined a motive for the shooting .
O O O O O O O O O O O O O O O O B-per_NOKG O O O O O O O B-per_NOKG I-per_NOKG O O O O O O	The pope has said he meant no offense to Muslims when he quoted a 14 century Byzantine emperor as saying some teachings of the Prophet Muhammed brought evil to the world .
B-gpe_NOKG O O O O O O O O O O O O O O O O O O O O O O O O	Pakistani forces have targeted militants in the northwest for a third day , launching airstrikes that they say killed at least nine suspected insurgents .
O O B-tim_NOKG O O O O O B-geo_NOKG O O O O O B-org O O O O O O O O O O O O O O B-geo I-geo O	Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .
O B-gpe_NOKG O O O O O B-geo_NOKG O O B-org O O	The Pakistani military launched its offensive in Orakzai to hunt Taliban insurgents .
O O O O O O O O O O O O O O B-tim_NOKG O	So far , nearly 100 militants have been reported killed in the region since Thursday .
O B-tim_NOKG O O O O O O O O O O O O O O B-geo_NOKG O	On Friday , five soldiers were killed when dozens of militants stormed a military checkpoint in Orakzai .
O O O O O O O O O O O O O	At least 32 suspected militants were killed when troops launched a counter-attack .
O O O O O O O B-tim_NOKG O O O O O O O O O O O O O B-geo_NOKG O O O B-gpe_NOKG O O	Elsewhere in the northwest , authorities on Saturday found the bodies of six people who had been shot dead in the Kurram region along the Afghan border .
O O O O O O O O O	The six were kidnapped a few days ago .
O B-org_NOKG O O B-geo O O O O O B-org_NOKG O O O O O O O	The U.S. military in Afghanistan says coalition forces killed 14 Taleban militants in separate clashes this week .
O O O B-tim_NOKG O O O O O O O O O O O O B-geo_NOKG O	The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .
O B-gpe_NOKG O O O O O O O O O B-gpe_NOKG O O O O O O O O	One Afghan soldier was killed and four others , including a U.S. soldier , were injured in the fighting .
O O O O O B-gpe_NOKG O O O B-geo_NOKG O O	Another militant was killed by U.S. troops in eastern Paktika province .
O O O O O B-gpe_NOKG O O O O O O O O O B-tim_NOKG O O O O O O O O B-geo_NOKG O	Separately , officials say four British soldiers from the NATO-led peacekeeping mission were wounded early Saturday in an attack in the northern city of Mazar-e-Sharif .
O O O O O O O O O O	It was not immediately clear what motivated the attack .
B-org_NOKG O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O	Taleban rebels are not known to operate in northern Afghanistan and the area has been spared much of the bloodshed that has plagued southern and eastern regions .
B-gpe_NOKG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Russian officials say at least five more people have died from a wave of extremely cold weather gripping the nation , bringing the death toll to 43 in the past week .
O O O O O O O O O B-geo O O O O O O O O O O O O	Emergency medical officials say the five victims died in Moscow from exposure , and another 19 people are hospitalized with hypothermia .
B-geo O B-org_NOKG O O O O O O O O O O O O O O O O O	Russia 's Itar-Tass news agency quotes a medical official as saying some of the victims were intoxicated or homeless .
O O O O O O B-geo O O B-geo I-geo O B-geo O B-geo O B-geo O O O O O O O O O	The unusually cold weather is affecting Russia , the Baltic states of Lithuania , Latvia and Estonia , and is moving into the Nordic countries .
O O O O O O O O O O O O O O O O O O O O O	The death toll is expected to rise as temperatures continue to hover around minus 30 degrees Celsius or lower overnight .
O O O O O O O O O B-geo O	Emergency power rationing has been put into effect around Moscow .
O O O B-geo O O O O O O O O O O O O O B-gpe_NOKG O O O O O O O O O O O O O O O O	Health officials in Vietnam say a deadly strain of the bird flu virus has killed a second Vietnamese man this week , raising the country 's death toll from the virus to 50 .
O O O O O O O B-geo O O B-gpe_NOKG I-gpe_NOKG O O O B-tim_NOKG O O O O O B-nat_NOKG O O O O O	Officials say the 27-year old man from Vietnam 's northern Ninh Binh province died late Thursday and tested positive for the H5N1 strain of bird flu .
O O O O O O O O O O O O O O	Officials say the man fell ill after slaughtering two chickens at his home .
O O O O O O O O O O O B-geo O O O	He is the third person to die from avian influenza in Vietnam this year .
O O O O O O O B-org I-org I-org O O O O O O O O O O O O B-tim_NOKG O	Not counting the latest death , the World Health Organization says 227 people around the world have died from bird flu since 2003 .
O O O O O O O O O O O O B-geo O	Most of the world 's cases , 103 , have occurred in Indonesia .
O O B-geo O O O O O O O O O O O O O O O O O B-geo O O O O O O O B-gpe_NOKG O O O O O	Witnesses in Somalia say insurgents have burned and dragged the bodies of at least two soldiers through the streets of Mogadishu , after a clash between militants and Ethiopian forces killed seven people .
O O O B-tim_NOKG O O O B-gpe_NOKG O O O O O O O O O O O O B-org_NOKG I-org_NOKG O O B-geo O	The violence erupted Wednesday after insurgents attacked Ethiopian tanks rolling through an insurgent stronghold near the headquarters of the former Defense Ministry in southern Mogadishu .
O O O B-gpe_NOKG O O O O O O O O O O O O O O	Witnesses say the Ethiopian troops returned heavy fire and that several people were wounded in the fighting .
B-gpe O O O B-geo O B-tim_NOKG O O O O O O O O O O O O	Ethiopia deployed soldiers to Somalia last December to help the interim government push an Islamist movement from power .
B-gpe O O O O O O O O O O O O O O O O O O O B-org_NOKG O O	Somalia 's internationally-recognized government has since been struggling to contain regular outbursts of violence by fighters loyal to the fallen Islamist movement .
O B-org I-org O O O O B-geo O O O B-gpe_NOKG O O O B-gpe I-gpe O O O O	The African Union has deployed troops to Somalia to replace the Ethiopian forces , which Addis Ababa plans to withdraw .
O B-gpe_NOKG O B-per_NOKG I-per_NOKG O B-gpe_NOKG O B-gpe_NOKG O O O O O O O O O O O O O O O	Top Palestinian negotiator Ahmed Qureia says Israeli and Palestinian mediators have agreed to prepare a document outlining their progress toward a peace accord .
O O O O O B-per_NOKG O O O O O O O O O O O O O O O O O O O O O O	In remarks to reporters , Qureia said the two sides agreed during recent meetings to begin writing out their positions on all issues discussed during peace negotiations .
O O O O O O O O O O O O O	He did not elaborate on why negotiators had come to the decision .
B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG O O O O O B-tim_NOKG O O O O O O O	Israeli Prime Minister Ehud Olmert and Palestinian President Mahmoud Abbas resumed U.S.-brokered peace talks last November , but progress has been slow .
O O O O O O O O O O O O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG O O O O O O	The two sides have expressed hope at reaching a peace deal before U.S. President George Bush leaves office early next year .
O B-per_NOKG O B-tim_NOKG O O O O O O B-geo O B-per_NOKG I-per_NOKG O O O O O O O O O	"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . """
O O O O O B-geo I-geo O O O O O O O O O O O	He told reporters in the West Bank that there is still room for progress in Israeli-Palestinian negotiations .
O B-gpe_NOKG O O B-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG O O O O O O O B-org_NOKG I-org_NOKG O O O O O O	The Israeli military says Major General Udi Adam - the head of the army 's Northern Command - has announced his resignation .
O O O B-tim_NOKG O O B-per_NOKG I-per_NOKG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	"A military statement Wednesday , said General Adam has asked to leave his post "" as soon as possible , "" and the chief of staff has accepted the request to begin the process of his replacement ."
B-per O O O O O O O O O O O O O O O O O O O O B-org O O B-geo O	Adam was widely expected to leave the army after he was pushed aside near the end of the 34-day war against Hezbollah guerrillas in Lebanon .
O O O O O O O O O O O O B-geo O O	"He was replaced by another general as "" coordinator of operations in Lebanon . """
B-gpe_NOKG O O B-per O O O O O O O O B-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG O O O O O O O O	Israeli media say Adam had several disagreements with the army chief , Lieutenant General Dan Halutz , over the conduct of the war .
O O O O O B-gpe O O O O O O O O O O O O O O O O O O O	A Washington-based research institute says Pakistan is building a nuclear reactor that could produce enough plutonium for 40 to 50 nuclear weapons a year .
O B-org I-org I-org I-org I-org I-org O O O O O O O O O O O O O O O O O O O O B-geo O O B-geo O O	The Institute for Science and International Security reports that satellite photos show a possible construction site for a larger nuclear reactor near the small one in the Khushab district of Punjab province .
O O O O O O O O O O O O O O O O O O O O O O O O O	The report says such a reactor could produce over 200 kilograms of weapons-grade plutonium , good for 40 to 50 nuclear weapons a year .
O O O O O O B-gpe O O O O O O O O O O O O O	According to some media reports , Pakistan is now capable of producing plutonium for just two warheads a year .
B-geo O B-org_NOKG I-org_NOKG O B-per_NOKG I-per_NOKG O O O O O O O O O O O O O O O O O O O O O O O O B-geo O O O O	Pakistan 's Foreign Ministry spokeswoman Tasnim Aslam declined to say whether a new reactor is being constructed , but she said the presence of a nuclear weapons program and facilities at Khushab are well known .
O B-org I-org I-org O O O O O O O O O O O O O O O	The American Diabetes Association reports the disease is the leading cause of new cases of blindness among adults .
O O O O O O O O O	It is the leading cause of kidney failure .
O O O O O O O O O O O O O O O O	The rate of amputation is 10 times higher among those who suffer from the disease .
O O O O O O O O O O O O O O O O O O O O	Experts say those who learn how to manage the disease early , can live healthier and more normal lives .
B-org_NOKG O B-per_NOKG I-per_NOKG O O O O O O O O O O O O O O O O O O O O O O O	VOA 's June Soh found camps that provide children with this chronic disease a positive approach to living with diabetes while letting them just be kids .
B-per_NOKG I-per_NOKG O O	Amy Katz Narrates .
B-gpe O B-gpe O O O O O O O O O O B-gpe O O O B-gpe I-gpe O O O O O O O O O O O O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG O	Cuba and Panama have said they will restore consular relations , months after Havana broke ties with Panama City for pardoning four men convicted in connection with an assassination attempt against Cuban President Fidel Castro .
O O O O O O O O O O O B-tim_NOKG O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG I-per_NOKG O	The countries agreed to reopen their consulates , following a meeting Friday between Panamanian President Martin Torrijos and Cuban Vice President Carlos Lage .
O O O O O O O O O O O O B-geo_NOKG I-geo_NOKG O B-geo I-geo O O O O O O O O O O O O O O B-org I-org I-org I-org O O O O O	The meeting took place on the sidelines of the Ibero-American Summit in San Jose , Costa Rica , where heads of state were meeting to discuss a candidate to head the Organization of American States and other regional issues .
B-gpe O O O B-gpe O B-tim_NOKG O O O B-gpe_NOKG B-per_NOKG I-per_NOKG I-per_NOKG O O O O O O O O O O O O O O O O B-geo O	Cuba severed ties with Panama in August , hours after Panamanian President Mireya Moscoso , in her final days in office , pardoned the men , preventing their extradition to Cuba .
O O O O O O O B-per_NOKG I-per_NOKG O O B-tim_NOKG O O O B-geo I-geo O	They were convicted of plotting to kill Mr. Castro during the 2000 Ibero-American summit in Panama City .
O B-gpe_NOKG O O O O B-gpe_NOKG O O O O B-geo_NOKG I-geo_NOKG O O O O O O O O	The Israeli army has killed a Palestinian youth in the northern Gaza Strip and wounded at least three other people .
O O O O O O O O O O O O O O O O O O O O O B-geo O O	The army says it targeted a man who was collecting a rocket launcher from an area used to fire rockets at Israel recently .
B-gpe_NOKG O O O O B-gpe_NOKG O O O O O	Palestinian medical sources say the Israeli strike killed a teenager .
O B-gpe_NOKG O O O O O B-geo_NOKG O O O O B-gpe_NOKG O O B-tim_NOKG O	The Israeli military began an offensive in Gaza after militants kidnapped an Israeli soldier in June .
O O O B-gpe O O O O O O O	More than 200 Palestinians have been killed in the offensive .
